@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'Every single immigrant we have, undocumented or documented, is a future American. That\'s just the truth of it.',' Truth'
'If Christianity is not scientific, and Science is not God, then there is no invariable law, and truth becomes an accident.',' Truth'
'We believe - we believe that, if we tell the people the truth, that they will act bigger than the pettiness we see in Washington, D.C. We believe it is possible to forge bipartisan compromise, and stand up for our conservative principles.',' Truth'
'If you want to annoy your neighbors, tell the truth about them.',' Truth'
'Truth made you a traitor as it often does in a time of scoundrels.',' Truth'
'What a word is truth. Slippery, tricky, unreliable. I tried in these books to tell the truth.',' Truth'
'Poetry is a political act because it involves telling the truth.',' Truth'
'There can be no knowledge without emotion. We may be aware of a truth, yet until we have felt its force, it is not ours. To the cognition of the brain must be added the experience of the soul.',' Truth'
'Remember, I come from such an excessively overdone, red-carpet place called Hollywood. So I\'m used to people blowing up their success in ways that are far above and beyond the truth.',' Truth'
'Truth is the glue that holds government together.',' Truth'
'I am in the present. I cannot know what tomorrow will bring forth. I can know only what the truth is for me today. That is what I am called upon to serve, and I serve it in all lucidity.',' Truth'
'A gaffe in Washington is someone telling the truth, and telling the truth has never hurt me.',' Truth'
'The truth is in California you can\'t build a new manufacturing facility, and businesses are leaving in droves because of bad government policy.',' Truth'
'My assignment is what every writer\'s assignment is: tell the truth of his own time.',' Truth'
'People always love and respect characters who speak the truth, even if the truth hurts.',' Truth'
'Well, first of all, we\'ve got to get away from being offended by the truth. We\'ve seen a 41 percent increase in food stamp recipients across the United States of America since President Obama was sworn in in January 2009. That has nothing to do with black, white, Hispanic or whatever. It\'s a fact, and we need to, you know, deal with that.',' Truth'
'Never wear your best trousers when you go out to fight for freedom and truth.',' Truth'
'Leaders know the importance of having someone in their lives who will unfailingly and fearlessly tell them the truth.',' Truth'
'I take work very seriously and telling the truth in my job and professionalism.',' Truth'
'Just how difficult it is to write biography can be reckoned by anybody who sits down and considers just how many people know the real truth about his or her love affairs.',' Truth'
'Metaphors have a way of holding the most truth in the least space.',' Truth'
'Truth disappears with the telling of it.',' Truth'
'Even in literature and art, no man who bothers about originality will ever be original: whereas if you simply try to tell the truth (without caring twopence how often it has been told before) you will, nine times out of ten, become original without ever having noticed it.',' Truth'
'When in doubt tell the truth.',' Truth'
'Truth is mighty and will prevail. There is nothing wrong with this, except that it ain\'t so.',' Truth'
'Why shouldn\'t truth be stranger than fiction? Fiction, after all, has to make sense.',' Truth'
'Fiction is obliged to stick to possibilities. Truth isn\'t.',' Truth'
'Man will occasionally stumble over the truth, but most of the time he will pick himself up and continue on.',' Truth'
'We occasionally stumble over the truth but most of us pick ourselves up and hurry off as if nothing had happened.',' Truth'
'Ignorance is preferable to error, and he is less remote from the truth who believes nothing than he who believes what is wrong.',' Truth'
'There is not a truth existing which I fear... or would wish unknown to the whole world.',' Truth'
'All the religions of the world, while they may differ in other respects, unitedly proclaim that nothing lives in this world but Truth.',' Truth'
'And we should consider every day lost on which we have not danced at least once. And we should call every truth false which was not accompanied by at least one laugh.',' Truth'
'For Africa to me... is more than a glamorous fact. It is a historical truth. No man can know where he is going unless he knows exactly where he has been and exactly how he arrived at his present place.',' Truth'
'Truth stands, even if there be no public support. It is self-sustained.',' Truth'
'My way of joking is to tell the truth. That\'s the funniest joke in the world.',' Truth'
'My religion is based on truth and non-violence. Truth is my God. Non-violence is the means of realising Him.',' Truth'
'God help us from those who believe that they are the sole possessors of truth. How we manage at times to agree willingly to become prisoners within our own minds and souls of beliefs and ideas on which we can never be flexible.',' Truth'
'In order to create lasting security you must learn to stand in your truth.',' Truth'
'Truth in philosophy means that concept and external reality correspond.',' Truth'
'An idea is a putting truth in check-mate.',' Truth'
'Telling the truth, and confronting the challenge, is what politics is about.',' Truth'
'Language is the house of the truth of Being.',' Truth'
'Beauty is but the sensible image of the Infinite. Like truth and justice it lives within us; like virtue and the moral law it is a companion of the soul.',' Truth'
